Day,Date,Name,Time,Meet,GMap,Price,PageType,Page,Tickets,Org1,OrgSite1,Org2,OrgSite2,Org3,OrgSite3,Partner,Detail1,Detail2,Detail3
THR,4,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,6,Old Pasadena Historic District Walking Tour,9:00 AM - 11:00 AM,See confirmation email,,15 members/$18 public,Event Page,https://pasadenaheritage.org/events-calendar/,https://www.eventbrite.com/e/old-pasadena-historic-district-walking-tour-tickets-41388453980,Pasadena Heritage,https://pasadenaheritage.org/,,,,,Y,"Old Pasadena has gone from drab and dingy to a shopping and dining destination. This National Register Historic District would have been destroyed if not for the vision and leadership of Pasadena Heritage! Now it is one of the finest examples of downtown revitalizations in the country. Let one of Pasadena Heritage's trained docents lead you through this historic neighborhood and reveal its many hidden and unusual architectural details, old alleyways, and historic signs.",,
SUN,7,District 7 Walk with Councilmember Andy Wilson,3:00 PM - 4:30 PM,Sidney F. Tyler Park,https://goo.gl/maps/oczHeYxaf9M2,FREE,Facebook Event Page,https://www.facebook.com/events/294807808000658/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena City Councilmember Andy Wilson,https://ww5.cityofpasadena.net/district7/,,,N,"Here at PasadenaCSC, we're big on getting to know your city councilmember and what makes them tick, and so we asked each of Pasadena's councilmembers if they'd bring their constituents along for their favorite walk in their district. Andy Wilson (District 7) comes in strong with the fastest response and the first event in the series!","This leisurely stroll will take us down Arden Road and then to Caltech, where we'll visit some of Caltech's newest destinations: the Hameetman Student Center, Bechtel Residence, and the location for the upcoming Chen Neuroscience Building.","The walk will then continue past the historic bungalows on San Pasqual, concluding with a no-host social hour at <a href=""http://www.themaghouse.com/"" target=""_blank"" rel=""noopener noreferrer"">Magnolia House</a> (492 S. Lake Ave.)"
TUE,9,Altadena Walk To School Day with Day One,6:55 AM - 8:30 AM,TBA,,FREE,,,,Jackson Elementary (PUSD),https://www.pusd.us/jackson,Day One,https://www.godayone.org/,,,Y,"Pasadena Unified School District's Jackson STEM Dual Language Magnet Academy joins thousands of schools around the country in <a href=""http://www.walkbiketoschool.org/"" target=""_blank"" rel=""noopener noreferrer"">Walk To School Day</a>, an annual event to celebrate the joy, independence, and health benefits of walking to school.","This event is being co-organized by Jackson Elementary and the lovely folks at Day One for Jackson's students and their families. For more information and to volunteer for setup/cleanup or to be a walking bus ""driver"", please contact Day One through the below link.",
WED,10,PUSD Walk To School Day with Day One and District 1 Councilmember Tyron Hampton,6:30 AM,TBA,,FREE,,,,Madison Elementary (PUSD),https://www.pusd.us/Domain/17,Day One,https://www.godayone.org/,Pasadena City Councilmember Tyron Hampton,https://ww5.cityofpasadena.net/district1/,Y,"Pasadena Unified School District's Madison Elementary joins thousands of schools around the country in <a href=""http://www.walkbiketoschool.org/"" target=""_blank"" rel=""noopener noreferrer"">Walk To School Day</a>, an annual event to celebrate the joy, independence, and health benefits of walking to school.","This event is being organized by PUSD for Madison students and their families. We're excited to announce that Pasadena District 1 Councilmember Tyron Hampton, who is known for his frequent constituent walks, will be joining! Also keep an eye out Pasadena's Day One and ask them about their resources for safe walking —  we heard there might be coloring books! ",
THR,11,"Run, Walk, Dance with the Jaycees at the Rose Bowl",5:30 PM - 6:30 PM,"Rose Bowl Loop, Lot K",https://goo.gl/maps/Ah46mgtCcNn,FREE,Event Page,http://pasadenajaycees.org/calendar/,,the Pasadena Jaycees,http://pasadenajaycees.org/,,,,,Y,"Run, walk or dance around the Rose Bowl with the Pasadena Jaycees! Runners and walkers of all experiences and levels are welcome to work out and have fun at one of Pasadena’s most popular walking paths.","Recurring on Thursdays in October (4, 11, 18, and 25), 2018.",
SAT,13,Civic Center Art Walk with Meriel Stern,9:30 AM - 11:30 AM,Pasadena City Hall Courtyard,https://goo.gl/maps/Ymjz2JM8iWk,FREE,Facebook Event Page,https://www.facebook.com/events/338296490249182/,,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,"Meriel Stern, Teaching Artist, Sculptor, and former Arts & Culture Commission Chair",http://www.merielstern.com/,,,N,"Ever wonder about the sculptures we see around the city — where they came from, why they're there, and what they mean? Join us for a walking tour as local artist and former Arts & Culture Commission Chair Meriel Stern discusses the history, artistry, and meaning behind various public art installations, including some hidden gems you may not have noticed before! ",This walk will cover approximately 2.5 miles and more than 15 artists in Pasadena’s city center.,
SAT,13,13th Annual Pasadena ARTWalk,11:00 AM - 6:00 PM,Green St. at Madison Ave.,https://goo.gl/maps/uP3cFTm5oy42,FREE,Event Page,https://www.playhousedistrict.org/calendar-of-events/artwalk,,the Playhouse District Association,https://www.playhousedistrict.org/,,,,,Y,"The 13th Annual Pasadena ArtWalk celebrates the Playhouse District with a FREE juried art show and sale from a wide variety of local artists while also offering patrons the opportunity to experience all of the amazing art the District has to offer. Set in the cultural heart of Pasadena with art, music, and activities, Green Street will provide the perfect shaded canopy for this unique, all-ages art event.",,
SAT,13,Old Pasadena Historic Pubs & Trivia Walking Tour,2:00 PM - 5:00 PM,See confirmation email,,35 members/$45 non-members,Event Page,https://pasadenaheritage.org/events-calendar/,https://www.eventbrite.com/e/old-pasadena-historic-pubs-trivia-walking-tour-tickets-49304955449,Pasadena Heritage,https://pasadenaheritage.org/,,,,,Y,"Experience the history of some famous and infamous Pasadena watering holes and haunts. This guided walking tour of Pasadena’s original downtown includes stops at pubs distinctive for their history, architecture, and beer. Tour-goers can delight in beer tastings plus little-known facts and forgotten lore–a great way to get to know historic Old Pasadena!",,
SUN,14,Power Walking 101: A Glenarm Power Plant Tour (First session),9:00 AM - 11:00 AM,Glenarm Power Plant Fountain,https://goo.gl/maps/3Qctb19fn5o,FREE,Facebook Event Page,https://www.facebook.com/events/2151418508510353/,https://www.eventbrite.com/e/power-walking-101-a-glenarm-power-plant-tour-tickets-50768205068,Pasadena Complete Streets Coalition,https://www.pasadenacsc.org/,Pasadena Water and Power,https://ww5.cityofpasadena.net/water-and-power/,,,N,"The Glenarm Power Plant has been keeping the lights on in Pasadena since 1907, starting with the streetlights lining Glenarm and expanding to meet the City’s growing needs. A major repowering in 2016 is helping reduce the city’s fuel consumption and emissions, lower its carbon footprint, increase efficiency, and better integrate renewable energy into its grid by backstopping it with a reliable alternative when needed. The facility is an essential component of the City’s reliable supply of electricity while serving as a step toward meeting its sustainability goals. ","This tour is a rare opportunity to explore the new state-of-the-art power plant and get a glimpse into the history of the City’s power generation. 
<strong>NOTE: This is an exclusive event, limited to 15 participants. Eventbrite tickets are FREE but required for attendance!</strong>
","Participants should observe the following:
<ul><li>The plant is an industrial facility and industrial hazards do exist at the plant</li>
<li>No open-toed or high-heeled shoes</li>
<li>Long pants are recommended; skirts are not (for the sake of modesty)</li></ul>
"
